,종목코드,기업명
680,000240,한국테크놀로지그룹
681,034830,한국토지신탁
682,007280,한국특수형강
683,168490,한국패러랠
684,010100,한국프랜지공업
685,047810,한국항공우주
686,123690,한국화장품
687,003350,한국화장품제조
688,011500,한농화성
689,002390,한독
690,014790,한라
691,060980,한라홀딩스
692,053690,한미글로벌
693,042700,한미반도체
694,008930,한미사이언스
695,128940,한미약품
696,009240,한샘
697,020000,한섬
698,003680,한성기업
699,105630,한세실업
700,069640,한세엠케이
701,016450,한세예스24홀딩스
702,009180,한솔로지스틱스
703,213500,한솔제지
704,014680,한솔케미칼
705,004710,한솔테크닉스
706,010420,한솔피엔에스
707,004150,한솔홀딩스
708,025750,한솔홈데코
709,004960,한신공영
710,011700,한신기계공업
711,001750,한양증권
712,018880,한온시스템
713,009420,한올바이오파마
714,014130,한익스프레스
715,300720,한일시멘트
716,002220,한일철강
717,006390,한일현대시멘트
718,003300,한일홀딩스
719,051600,한전KPS
720,052690,한전기술
721,130660,한전산업
722,002320,한진
723,097230,한진중공업
724,003480,한진중공업홀딩스
725,180640,한진칼
726,005110,한창
727,009460,한창제지
728,000880,한화
729,027390,한화갤러리아타임월드
730,088350,한화생명
731,000370,한화손해보험
732,012450,한화에어로스페이스
733,009830,한화케미칼
734,003530,한화투자증권
735,195870,해성디에스
736,101530,해태제과식품
737,143210,핸즈코퍼레이션
738,000720,현대건설
739,267270,현대건설기계
740,005440,현대그린푸드
741,086280,현대글로비스
742,064350,현대로템
743,079430,현대리바트
744,012330,현대모비스
745,010620,현대미포조선
746,069960,현대백화점
747,004560,현대비앤지스틸
748,011200,현대상선
749,004310,현대약품
750,126560,현대에이치씨엔
751,017800,현대엘리베이터
752,307950,현대오토에버
753,011210,현대위아
754,267260,현대일렉트릭
755,005380,현대자동차
756,004020,현대제철
757,011760,현대종합상사
758,267250,현대중공업지주
759,001500,현대차증권
760,227840,현대코퍼레이션홀딩스
761,001450,현대해상
762,057050,현대홈쇼핑
763,093240,형지엘리트
764,789,
765,003010,혜인
766,111110,호전실업
767,008770,호텔신라
768,002460,화성산업
769,013520,화승알앤에이
770,241590,화승엔터프라이즈
771,006060,화승인더스트리
772,010690,화신
773,133820,화인베스틸
774,010660,화천기계
775,000850,화천기공
776,016580,환인제약
777,032560,황금에스티
778,004800,효성
779,094280,효성 ITX
780,298040,효성중공업
781,298050,효성첨단소재
782,298020,효성티앤씨
783,298000,효성화학
784,093370,후성
785,081660,휠라코리아
786,005870,휴니드테크놀러지스
787,079980,휴비스
788,005010,휴스틸
789,069260,휴켐스
790,000540,흥국화재
791,003280,흥아해운
